material_id,formula,band_gap,e_hull,formation_energy
mp-567666,Ba3BiN,0.6466000000000001,0.0,-0.8488473629999981
mp-1013691,Ba3BiP,0.0,0.101019504916662,-0.8450844469285711
mp-1013584,Ba3BiSb,0.0,0.336802108199997,-0.664411328
mp-1013719,Ba3BiSb,0.0,0.470977074199997,-0.530236362
mp-17833,Ba3GeO,0.15300000000000002,0.0,-1.439800085999998
mp-13288,Ba3LiN,0.0,0.027976386666667002,-0.307244143666667
mp-8868,Ba3NaN,0.0,0.0,-0.331969978275862
mp-1013533,Ba3PN,0.0,0.139411427333334,-0.6362765459285711
mp-1013562,Ba3SbAs,0.148699999999999,0.22783895273846203,-0.8547799735
mp-1013557,Ba3SbN,0.0,0.055228376999998004,-0.870384568999999
mp-12814,Ba3SbN,0.455499999999999,0.0,-0.9256129459999981
mp-1013737,Ba3SbP,0.299199999999999,0.156638863916667,-0.8819724669285711
mp-754940,Ba3SiO,0.0,0.05150425300000001,-1.265288455
mp-755363,Ba3SiO,0.421699999999999,0.0,-1.316792708000001
mp-29243,Ba3SnO,0.0,0.0,-1.531505142000002
mp-1183283,BaAlO3,0.0,0.16936120074999902,-2.895402251
mp-1183287,BaAuO3,0.0,0.19831959500000002,-1.464683951
mp-1227955,BaBiO3,0.0,0.022849193999999,-2.210577817
mp-22942,BaBiO3,0.0,1.743400000009387e-05,-2.233409576999999
mp-23438,BaBiO3,0.0,0.024886166999999,-2.208540844
mp-23482,BaBiO3,0.0,0.0008352050000010001,-2.232591805999997
mp-545783,BaBiO3,0.0,0.021211001999999,-2.212216009
mp-559051,BaBiO3,0.0,0.0,-2.233427010999999
mp-27365,BaBiSe3,0.9943999999999991,0.0,-1.3171996901562482
mp-1227982,BaCO3,4.1409,0.049050461000001,-2.6337288
mp-2506699,BaCO3,4.4436,0.015460144000002,-2.667319116999999
mp-2626703,BaCO3,4.1813,0.043856836000002,-2.638922424999999
mp-34195,BaCO3,4.354299999999999,0.035359590000001,-2.647419671
mp-4559,BaCO3,4.3635,0.021844735000001003,-2.6609345259999992
mp-545643,BaCO3,3.976,0.104496795000001,-2.578282466
mp-5504,BaCO3,4.397399999999999,0.0,-2.682779261000001
mp-674478,BaCO3,4.159499999999999,0.049906871000001005,-2.63287239
mp-675324,BaCO3,4.0966,0.07582380200000201,-2.606955458999999
mp-676020,BaCO3,4.0287,0.033765908000001,-2.649013353000001
mp-762225,BaCO3,4.474,0.013236834000001,-2.669542427
mp-1183285,BaCaO3,0.0,0.344531053999998,-2.279992301
mp-583645,BaCaSn3,0.0,0.001525398249998,-0.608299799749999
mp-1227962,BaCd3Ga,0.0,0.001069449,-0.274422421499998
mp-1183292,BaCdO3,0.0,0.202881038,-1.6376950989999992
mp-3187,BaCeO3,2.2207,0.0,-3.589836753000001
mp-3316,BaCeO3,2.2112,0.000642611000001,-3.589194142000001
mp-4900,BaCeO3,2.2279,0.0025211640000000002,-3.587315589
mp-5663,BaCeO3,2.299,0.040333896000001,-3.5495028570000002
mp-1182237,BaClO3,0.0,0.496639524159996,-1.212395542
mp-1076782,BaCoO3,0.0,0.22222526900000003,-1.8256327430000001
mp-1283250,BaCoO3,1.1424,0.0010551950000010002,-2.046802816999999
mp-18965,BaCoO3,0.0,0.0,-2.047858012
mp-19271,BaCrO3,0.0,0.294836223625002,-2.325464904
mp-540926,BaCrO3,0.0,0.083786614625002,-2.536514513000001
mp-557081,BaCrO3,0.0,0.081652054339287,-2.538649073285715
mp-1076800,BaCuO3,0.0,0.08273291958333401,-1.663166091
mp-1183286,BaDyO3,0.0,0.10872087100000001,-3.117626003333332
mp-1183291,BaErO3,0.0,0.08670264150000201,-3.164587624999998
mp-1183310,BaEuO3,0.0,0.16508361100000002,-2.773289008
mp-1192651,BaFeO3,0.0,0.0,-2.1502811303333322
mp-19035,BaFeO3,0.0,0.048024622666666,-2.102256507666665
mp-705845,BaFeO3,0.0,0.46098499733333204,-1.6892961329999991
mp-1227967,BaGa3Sn,0.0,0.0193654795,-0.4075560295
mp-1069708,BaGe3Ir,0.0,0.0,-0.524893118999997
mp-1068447,BaGe3Pd,0.0,0.0,-0.570319616999999
mp-22346,BaGe3Pt,0.0,0.0,-0.632367121
