step,formula,score,accepted,seed
68,CaSnCl3,0.04630059218235337,False,SrHfS3
69,CsSnCl3,0.0011369950077184054,True,SrHfS3
70,SrSnCl3,0.014866723239536039,False,SrHfS3
71,CsSnS3,0.0007616302108397795,True,SrHfS3
72,CsSnBr3,-0.0010244860212580208,True,SrHfS3
73,KSnBr3,0.011164902669169407,True,SrHfS3
74,LaSnBr3,0.08200815900733922,False,SrHfS3
75,KGeBr3,5.055210765175455e-05,True,SrHfS3
76,KGeBr3,5.055210765175455e-05,True,SrHfS3
77,KGeI3,0.03846012347529863,True,SrHfS3
78,KGeSe3,-0.014519060964313777,True,SrHfS3
79,KGeS3,0.06544538858836452,True,SrHfS3
80,KGeCl3,0.00036965148203724777,True,SrHfS3
81,NaGeCl3,0.042948323266940036,True,SrHfS3
82,NaGeSe3,0.006028207481064199,True,SrHfS3
83,NaGeSe3,0.006028207481064199,True,SrHfS3
84,NaGeSe3,0.006028207481064199,True,SrHfS3
85,NaGeSe3,0.006028207481064199,True,SrHfS3
86,NaGeBr3,0.0029688201754991895,True,SrHfS3
87,NaMgBr3,0.032990031177188836,True,SrHfS3
88,CsMgBr3,0.007998808288501573,True,SrHfS3
89,CsMgSe3,0.056788436878329865,False,SrHfS3
90,CsMgCl3,0.0011795442754731682,True,SrHfS3
91,CsMgBr3,0.007998808288501573,True,SrHfS3
92,CsMgI3,-0.000832547798906047,True,SrHfS3
93,NaMgI3,0.021137158147405917,True,SrHfS3
94,NaMgTe3,0.054908675233395654,True,SrHfS3
95,NaMnTe3,0.018596348471017102,True,SrHfS3
96,NaZrTe3,0.059330097447530865,False,SrHfS3
97,BaMnTe3,-0.012612949836008833,True,SrHfS3
98,KMnTe3,0.015049324560125142,True,SrHfS3
99,BaMnTe3,-0.012612949836008833,True,SrHfS3
0,EuPbS3,0.022778618396101506,True,EuTiS3
1,EuPbBr3,0.09306175876329584,False,EuTiS3
2,KPbS3,0.03795752502531878,True,EuTiS3
3,KPbSe3,0.02773961228274001,True,EuTiS3
4,KMgSe3,0.06250707442914039,True,EuTiS3
5,BaMgSe3,0.07637671733218653,True,EuTiS3
6,BaPbSe3,-0.021690124078093526,True,EuTiS3
7,LaPbSe3,0.0016208031913189382,True,EuTiS3
8,LaPbSe3,0.0016208031913189382,True,EuTiS3
9,LaPbSe3,0.0016208031913189382,True,EuTiS3
10,LaPbSe3,0.0016208031913189382,True,EuTiS3
11,LaGeSe3,0.0047366122356450584,True,EuTiS3
12,LaZrSe3,0.009355851440312497,True,EuTiS3
13,LaZrSe3,0.009355851440312497,True,EuTiS3
14,LaHfSe3,0.02037258556115069,True,EuTiS3
15,LaHfSe3,0.02037258556115069,True,EuTiS3
16,LaMgSe3,0.15324273115772322,False,EuTiS3
17,LaHfBr3,0.16965429289327974,False,EuTiS3
18,BaHfSe3,0.015285707748360257,True,EuTiS3
19,BaHfSe3,0.015285707748360257,True,EuTiS3
20,BaZnSe3,0.051204436963797846,True,EuTiS3
21,NaZnSe3,-0.031759168217427906,True,EuTiS3
22,SrZnSe3,0.032110980116393226,False,EuTiS3
23,NaZnTe3,0.009470814065410551,False,EuTiS3
24,NaZnTe3,0.009470814065410551,False,EuTiS3
25,NaZnI3,0.005824140264414593,True,EuTiS3
26,RbZnI3,0.0048829339316010965,True,EuTiS3
27,RbMnI3,0.05144019599218281,False,EuTiS3
28,KZnI3,0.024094337859052097,True,EuTiS3
29,KZnTe3,0.03430311841227929,True,EuTiS3
30,SrZnTe3,0.043095166936119415,True,EuTiS3
31,SrZnSe3,0.032110980116393226,True,EuTiS3
32,SrTiSe3,0.006550734761655655,True,EuTiS3
33,SrZrSe3,0.020113190561821804,True,EuTiS3
34,SrTiSe3,0.006550734761655655,True,EuTiS3
35,SrMgSe3,0.07710794099408513,True,EuTiS3
36,YMgSe3,0.22024445054423963,False,EuTiS3
37,KMgSe3,0.06250707442914039,True,EuTiS3
38,EuMgSe3,0.2026933083381821,False,EuTiS3
39,BaMgSe3,0.07637671733218653,True,EuTiS3
40,EuMgSe3,0.2026933083381821,False,EuTiS3
41,BaMgTe3,0.061231790973890934,True,EuTiS3
42,BaMgTe3,0.061231790973890934,True,EuTiS3
43,BaMgI3,0.03876381892869654,True,EuTiS3
44,CsMgI3,-0.000832547798906047,True,EuTiS3
45,EuMgI3,0.18582738906204402,False,EuTiS3
46,CsZnI3,-0.00814048374334875,True,EuTiS3
47,CsGeI3,0.00011057048911568409,False,EuTiS3
48,KZnI3,0.024094337859052097,False,EuTiS3
49,CsZnS3,0.028151435342046133,False,EuTiS3
50,CaZnI3,0.014275178846920469,True,EuTiS3
51,CaPbI3,0.03216139581297606,True,EuTiS3
52,KPbI3,0.0829789840782418,True,EuTiS3
53,BaPbI3,0.058035048513551284,True,EuTiS3
54,BaPbI3,0.058035048513551284,True,EuTiS3
55,BaPbBr3,0.031428557553345296,True,EuTiS3
56,BaPbS3,0.004901488277062456,True,EuTiS3
57,BaHfS3,-0.0017313920365326545,True,EuTiS3
